clubid,name,division,based
48,Abelakiakos,Greek Amateur Division - Piraeus,Greece (GAD - Piraeus)
49,Abelokipoi Dramas,Greek Amateur Division - Drama,Greece (GAD - Drama)
50,Abeloniakos,Greek Amateur Division - Larisa,Greece (GAD - Larisa)
51,Aberdeen,Ladbrokes Premiership,Scotland (Ladbrokes Premiership)
52,Aberystwyth,JD Cymru Premier,Wales (JD Cymru Premier)
53,ABF,Brazilian National Third Division,Brazil (Third Division)
54,Abha,Saudi Professional League,Saudi Arabia (Pro League)
55,Abia Warriors,Nigerian Premier League,Nigeria (Premier League)
56,ABM Galaxy,Vanuatuan Port Vila Premier Division,Vanuatu (Port Vila Premier)
57,Aboumoslem,Iranian Lower Division,Iran (Lower Division)
58,AC Ajaccio,Domino's Ligue 2,France (Domino's Ligue 2)
59,AC Amiens,French National 3 - Hauts de France,France (Nat 3 - Hauts France)
60,AC Boulogne-Billancourt,French National 3 - Paris Ile de France,France (Nat 3 - Paris Ile France)
61,AC Connecticut,Unknown,Spain
62,AC Horsens,3F Superliga,Denmark (3F Superliga)
63,AC Kajaani,Finnish First Division,Finland (First Division)
64,AC Malcantone,Swiss Lower Division,Switzerland (Lower Division)
65,AC Oulu,Finnish First Division,Finland (First Division)
66,AC Oulu Akatemia,Finnish Lower Division,Finland (Lower Division)
67,Ac. Viseu,Portuguese Second League,Portugal (Second League)
68,Academia Chacras,Argentine Torneo Federal C,Argentina (Fifth Division non AFA)
69,Academia Puerto Cabello,Venezuelan Premier Division,Venezuela (Premier Division)
70,Academica Clinceni,Romanian First League,Romania (Casa Liga I)
71,Acassuso,Argentine Metropolitan B Zone,Argentina (Metropolitan Zone)
72,Accountants Tel-Aviv,Israeli C League Tel-Aviv Division,Israel (C League Tel-Aviv)
73,Accrington,Sky Bet League One,England (Sky Bet League One)
74,ACE,Finnish Lower Division,Finland (Lower Division)
75,Acero,Spanish Third Division Group 6,Spain (Third Division Group 6)
76,Achaiki,Greek Amateur Division - Achaia,Greece (GAD - Achaia)
77,Achaios Saravaliou,Greek Amateur Division - Achaia,Greece (GAD - Achaia)
78,Acharnaikos,Greek Regional Division Group 6,Greece (Regional Division 6)
79,Acheron,Greek Regional Division Group 4,Greece (Regional Division 4)
80,Achil. Farsalon,Greek Amateur Division - Larisa,Greece (GAD - Larisa)
81,Achil. Kato Acharnon,Greek Amateur Division - Eastern Attica,Greece (GAD - Eastern Attica)
82,Achil. Naousas,Greek Amateur Division - Imathia,Greece (GAD - Imathia)
83,Achil. Neokaisareias,Greek Amateur Division - Pieria,Greece (GAD - Pieria)
84,Achil. Triandrias,Greek Amateur Division - Macedonia,Greece (GAD - Macedonia)
85,Achilles Veen,Dutch Hoofdklasse Zaterdag A,Holland (Zaterdag A)
86,Achna,Cypriot First Division,Cyprus (First Division)
87,Acireale,Italian Serie D Grp. I,Italy (Serie D Grp. I)
88,Acornbush Utd,SAFA Mpumalanga Division 3,South Africa (Mpumalanga Division 3)
89,ACR Messina,Italian Serie D Grp. I,Italy (Serie D Grp. I)
90,Acren,Belgian Second Amateur Division C,Belgium (Second Division C)
91,Across The Waves FC,Three Cities League,Australia (Three Cities League)
92,AD Oliveirense,Portugal Championship - Group A,Portugal (PT Championship A)
93,AD Sanjoanense,Portugal Championship - Group B,Portugal (PT Championship B)
94,Adamstown Rosebud,National Premier Leagues - Northern NSW,Australia (NPL - NNSW)
95,Adana D.S.,Turkish 1. League,Turkey (1. League)
96,Adanaspor,Turkish 1. League,Turkey (1. League)
97,Adarve,Spanish Third Division Group 7,Spain (Third Division Group 7)
98,Adelaide Blue Eagles,National Premier Leagues - South Australia,Australia (NPL South Australia)
99,Adelaide City,National Premier Leagues - South Australia,Australia (NPL South Australia)
100,Adelaide Cobras,South Australia - State League 2,Australia (SA - State League 2)
101,Adelaide Comets,National Premier Leagues - South Australia,Australia (NPL South Australia)
102,Adelaide Hills,South Australia - State League 1,Australia (SA - State League 1)
103,Adelaide Olympic,National Premier Leagues - South Australia,Australia (NPL South Australia)
104,Adelaide Raiders,National Premier Leagues - South Australia,Australia (NPL South Australia)
105,Adelaide United,Hyundai A-League,Australia (Hyundai A-League)
106,Adelaide Victory,South Australia - State League 1,Australia (SA - State League 1)
107,ADIUR (ARG),Argentine Torneo Federal B,Argentina (Fourth Division non AFA)
108,ADM,Brazilian National Lower Division,Brazil (Lower Division)
109,Admira Prague,Czech Third Division CFL A,Czech Republic (Third Division CFL A)
110,Admiralty,Singaporean National Football League Division Two,Singapore (NFL Division 2)
111,ADO Den Haag,Dutch Derde Divisie Zondag,Holland (Derde Divisie Zondag)
112,Adria,Slovenian Third League West,Slovenia (Third League West)
113,Adriese,Italian Serie D Grp. C,Italy (Serie D Grp. C)
114,AE Evosmou,Greek Amateur Division - Macedonia,Greece (GAD - Macedonia)
115,AE Katsaba,Greek Amateur Division - Irakleio,Greece (GAD - Irakleio)
116,AE Kydonias,Greek Amateur Division - Chania,Greece (GAD - Chania)
117,Aegeri,Swiss Second League Interregio Gr 4,Switzerland (Second League Inter Gr 4)
118,AEK,Greek Super League 1,Greece (Super League)
119,AEK Larnakas,Cypriot First Division,Cyprus (First Division)
120,AEK Tripolis,Greek Regional Division Group 6,Greece (Regional Division 6)
121,AEL,Cypriot First Division,Cyprus (First Division)
122,AEP Karagiannion,Greek Regional Division Group 4,Greece (Regional Division 4)
123,AERA,Greek Amateur Division - Dodekanisa,Greece (GAD - Dodekanisa)
124,Aerata Grevena,Greek Amateur Division - Grevena,Greece (GAD - Grevena)
125,Aesch,Swiss Lower Division,Switzerland (Lower Division)
126,Aetos Anogeion,Greek Amateur Division - Rethymno,Greece (GAD - Rethymno)
127,Aetos Korydallou,Greek Amateur Division - Piraeus,Greece (GAD - Piraeus)
128,Aetos Loutron,Greek Amateur Division - Lesvos,Greece (GAD - Lesvos)
129,Aetos Makrychoriou,Greek Amateur Division - Larisa,Greece (GAD - Larisa)
130,Aetos Nisou,Greek Amateur Division - Ipeiros,Greece (GAD - Ipeiros)
131,Aetos Orfanou,Greek Regional Division Group 1,Greece (Regional Division 1)
132,Aetos Patron,Greek Amateur Division - Achaia,Greece (GAD - Achaia)
133,AF Bobigny,French National 2 - A,France (National 2 - A)
134,AFC,Dutch Eerste Klasse Zaterdag A,Holland (Dutch Tweede Divisie)
135,AFC Ann Arbor,NPSL Midwest Region,U.S.A. (Midwest Region)
136,AFC Blois,French Regional Divisions,France (Regional Divisions)
137,AFC Eskilstuna,Swedish Premier Division,Sweden (Premier Division)
138,AFC Telford,Vanarama National League North,England (Vanarama North)
139,AFC Wimbledon,Sky Bet League One,England (Sky Bet League One)
140,Affoltern a/A,Swiss Lower Division,Switzerland (Lower Division)
141,Afogados da Ingazeira,Brazilian National Lower Division,Brazil (Lower Division)
142,Afturelding,Icelandic First Division,Iceland (First Division)
143,Afyonspor,Turkish 2. League White Group,Turkey (2. League White)
144,Agazzanese,Italian Eccellenza Emilia-Romagna Grp.A,Italy (Eccellenza Emilia-Rom. A)
145,AGB,Dutch Eerste Klasse Zondag A,Holland (Eerste Klasse Zondag A)
146,AGF,3F Superliga,Denmark (3F Superliga)
147,Agia Anna,Greek Amateur Division - Thessaly,Greece (GAD - Thessaly)
148,Agia Eleousa,Greek Amateur Division - Athens,Greece (GAD - Athens)
149,Agia Napa,Cypriot Second Division,Cyprus (Second Division)
150,Agio Pnevma,Greek Amateur Division - Serres,Greece (GAD - Serres)
151,Agioi Anargyroi,Greek Regional Division Group 5,Greece (Regional Division 5)
0,Unknown,Unknown,Unknown
152,Agios Dimitrios,Greek Amateur Division - Athens,Greece (GAD - Athens)
153,Agios Georgios,Greek Amateur Division - Korinthia,Greece (GAD - Korinthia)
154,Agios Ierotheos,Greek Regional Division Group 5,Greece (Regional Division 5)
155,Aglianese,Italian Serie D Grp. E,Italy (Serie D Grp. E)
156,Agnantero,Greek Amateur Division - Karditsa,Greece (GAD - Karditsa)
157,Agnonese,Italian Serie D Grp. F,Italy (Serie D Grp. F)
158,AGOVV,Dutch Derde Klasse Zaterdag B Oost,Holland (Dutch Derde Klasse Zaterd)
159,Agr. Asteras,Greek Regional Division Group 2,Greece (Regional Division 2)
160,Agr. Asteras Plateos,Greek Amateur Division - Imathia,Greece (GAD - Imathia)
161,Agr. Kastritsas,Greek Amateur Division - Ipeiros,Greece (GAD - Ipeiros)
162,Agricola Borcea,Romanian Third League Group 2,Romania (Liga III Seria 2)
163,Agrobusiness,Ukrainian First League,Ukraine (First League)
164,Agrobusiness TSK Romny,Ukrainian Lower Division,Ukraine (Lower Division)
165,Agropecuario Argentino,Argentine Second Division,Argentina (Second Division)
166,Agropoli,Italian Serie D Grp. H,Italy (Serie D Grp. H)
167,Aguará,Chilean North Group Third Division B,Chile (North Group 3Â°B)
168,AH Utd,Bruneian Lower Division,Brunei (Lower Division)
169,Ahed,Lebanese Premier League,Lebanon (Premier League)
170,Ahi Acre,Israeli B League North A Division,Israel (B League North A)
171,Ahi Bir el-Maksour,Israeli C League Emek Yizre'el Division,Israel (C League Yizre'el)
172,Ahi Iksal,Israeli B League North B Division,Israel (B League North B)
173,Ahi Nazareth,Israeli National League,Israel (National League)
174,Ahlen,German Div. Westphalia,Germany (Westphalia)
175,Ahli (BHR),Bahraini Premier League,Bahrain (Premier League)
176,Ahli (JOR),Jordanian Professional League,Jordan (Pro-League)
177,Ahli Khalil,Palestinian West Bank Premier League,Palestine (West Bank Premier)
178,Ahoghill Thistle,Northern Irish Ballymena SM Division One,N.Ireland (Ballymena SM Division One)
179,Ahva Kfar Manda,Israeli B League North A Division,Israel (B League North A)
180,Ahva Sha'ab,Israeli C League Upper Galilee Division,Israel (C League Upper Galilee)
181,Aias Evosmou,Greek Amateur Division - Macedonia,Greece (GAD - Macedonia)
182,Aias Gastounis,Greek Amateur Division - Ileia,Greece (GAD - Ileia)
183,Aias Salaminas,Greek Amateur Division - Piraeus,Greece (GAD - Piraeus)
184,Aias Sourpis,Greek Amateur Division - Thessaly,Greece (GAD - Thessaly)
185,Aias Tavrou,Greek Amateur Division - Athens,Greece (GAD - Athens)
186,Aigaleo,Greek Football League,Greece (Football League)
187,AIK,Swedish Premier Division,Sweden (Premier Division)
188,Aileach,Irish Innishowen Premier Division,Ireland (Irish Innishowen Premier )
189,Aiolikos,Greek Regional Division Group 6,Greece (Regional Division 6)
190,Airbus UK,JD Cymru Premier,Wales (JD Cymru Premier)
191,Airdrie,Ladbrokes League 1,Scotland (Ladbrokes League 1)
192,Aisling A,Irish Limerick & District Premier Division,Ireland (Limerick Premier Division)
193,Aittitos Spaton,Greek Regional Division Group 6,Greece (Regional Division 6)
194,Aizawl FC,Indian National Football League,India (National Football League)
195,AJ Auxerre,Domino's Ligue 2,France (Domino's Ligue 2)
196,Ajax,Eredivisie,Holland (Eredivisie)
197,Ajax Amateurs,Dutch Derde Divisie Zaterdag,Holland (Derde Divisie Zaterdag)
198,Ajax CT,South African National First Division,South Africa (National First Division)
199,Ajka,Hungarian Division II,Hungary (Division II)
200,Ajka Kristály,Hungarian Lower Division,Hungary (Lower Division)
201,Ajman,UAE Professional League,U.A.E. (Pro League)
202,Akad. Platamona,Greek Amateur Division - Pieria,Greece (GAD - Pieria)
203,Akad. Voiou,Greek Amateur Division - Kozani,Greece (GAD - Kozani)
204,Akademija Pandev,North Macedonian First League,North Macedonia (First League)
205,Akademik Svishtov,Bulgarian Third League North-West,Bulgaria (Third NW League)
206,Akanthos Ierissou,Greek Amateur Division - Chalkidiki,Greece (GAD - Chalkidiki)
207,Akhisarspor,Turkish 1. League,Turkey (1. League)
208,Akhmat,Russian Premier League,Russia (Premier League)
209,Akilles,Finnish Lower Division,Finland (Lower Division)
210,Akratitos,Greek Regional Division Group 5,Greece (Regional Division 5)
211,Akritas,Cypriot Second Division,Cyprus (Second Division)
212,Akritas Nevrokopiou,Greek Amateur Division - Drama,Greece (GAD - Drama)
213,Akrites Sykeon,Greek Amateur Division - Macedonia,Greece (GAD - Macedonia)
214,Akron,Russian Second Division - Ural/Volga,Russia (Second Div. - Ural/Volga)
215,Akropoli Sesklou,Greek Amateur Division - Thessaly,Greece (GAD - Thessaly)
216,Akropolis IF,Swedish First Division North,Sweden (First Division North)
217,AKS Strzegom,Polish Fourth Division,Poland (Fourth Division)
218,Aktobe,Kazakhstan Premier League,Kazakhstan (Kazakhstan Premier League)
219,Akwa Starlets,Nigerian Premier League,Nigeria (Premier League)
220,Akwa Utd,Nigerian Premier League,Nigeria (Premier League)
221,Akzhaiyk,Kazakhstan First League,Kazakhstan (Kazakhstan First League)
222,Al-Adalah,Saudi Professional League,Saudi Arabia (Pro League)
223,Al-Ahli (KSA),Saudi Professional League,Saudi Arabia (Pro League)
224,Al-Ahli (QAT),Qatari Stars League,Qatar (Stars League)
225,Al-Ahli Benghazi,Libyan First Division,Libya (First Division)
226,Al-Ahli Khartoum,Sudanese Premier League,Sudan (Premier League)
227,Al-Ahli Shendi,Sudanese Premier League,Sudan (Premier League)
228,Al-Ahly,Egyptian Premier League,Egypt (Premier League)
229,Al-Ain,UAE Professional League,U.A.E. (Pro League)
230,Al-Ansar (KSA),Saudi First Division,Saudi Arabia (First Division)
231,Al-Arabi (KSA),Saudi Second Division Group B,Saudi Arabia (Second Division Grp B)
232,Al-Arabi (KUW),Kuwaiti Premier League,Kuwait (Premier League)
233,Al-Arabi (QAT),Qatari Stars League,Qatar (Stars League)
234,Al-Arabi (UAE),UAE First Division,U.A.E. (First Division)
235,Al-Batin,Saudi First Division,Saudi Arabia (First Division)
236,Al-Bukiryah,Saudi Second Division Group A,Saudi Arabia (Second Division Grp A)
237,Al-Dhafra,UAE Professional League,U.A.E. (Pro League)
238,Al-Diwaniya,Iraqi Premier League,Iraq (Premier League)
239,Al-Duhail,Qatari Stars League,Qatar (Stars League)
240,Al-Ettifaq,Saudi Professional League,Saudi Arabia (Pro League)
241,Al-Faisaly (KSA),Saudi Professional League,Saudi Arabia (Pro League)
242,Al-Fateh,Saudi Professional League,Saudi Arabia (Pro League)
243,Al-Fayha,Saudi Professional League,Saudi Arabia (Pro League)
244,Al-Gaish,Egyptian Premier League,Egypt (Premier League)
245,Al-Gharafa,Qatari Lower Division,Qatar (Lower Division)
246,Al-Hamriya,UAE First Division,U.A.E. (First Division)
247,Al-Hazem,Saudi Professional League,Saudi Arabia (Pro League)
248,Al-Hilal (KSA),Saudi Professional League,Saudi Arabia (Pro League)
249,Al-Hilal Al-Obayed,Sudanese Premier League,Sudan (Premier League)
250,Al-Hilal Benghazi,Libyan First Division,Libya (First Division)
251,Al-Hilal Omdurman,Sudanese Premier League,Sudan (Premier League)
252,Al-Hilal Port Sudan,Sudanese Lower Division,Sudan (Sudanese Lower Division)
253,Al-Ittihad (KSA),Saudi Professional League,Saudi Arabia (Pro League)
254,Al-Ittihad (LBY),Libyan First Division,Libya (First Division)
255,Al-Ittihad (UAE),UAE Professional League,U.A.E. (Pro League)
256,Al-Jabalain,Saudi First Division,Saudi Arabia (First Division)
257,Al-Jazira (UAE),UAE Professional League,U.A.E. (Pro League)
258,Al-Kahrabaa,Iraqi Premier League,Iraq (Premier League)
259,Al-Khabourah,Omani First Division Group C,Oman (First Division Grp C)
260,Al-Khaleej (KSA),Saudi First Division,Saudi Arabia (First Division)
261,Al-Kharitiyath,Qatari League,Qatar (Q-League)
262,Al-Khor,Qatari Stars League,Qatar (Stars League)
263,Al-Majd (SYR),Syrian First Division - South,Syria (First Division - South)
264,Al-Markhiya,Qatari League,Qatar (Q-League)
265,Al-Masry,Egyptian Premier League,Egypt (Premier League)
266,Al-Merreikh El-Fasher,Sudanese Premier League,Sudan (Premier League)
267,Al-Merreikh Omdurman,Sudanese Premier League,Sudan (Premier League)
268,Al-Mesaimeer,Qatari League,Qatar (Q-League)
269,Al-Mujazzal,Saudi First Division,Saudi Arabia (First Division)
270,Al-Naft,Iraqi Premier League,Iraq (Premier League)
271,Al-Nahda (KSA),Saudi First Division,Saudi Arabia (First Division)
272,Al-Nahda (OMA),Omani Professional League,Oman (Pro League)
273,Al-Nahda Nazareth,Israeli B League North A Division,Israel (B League North A)
274,Al-Najma Shaba,Yemeni Lower Division,Yemen (Lower Division)
275,Al-Naser,Kuwaiti Premier League,Kuwait (Premier League)
276,Al-Nasr (OMA),Omani Professional League,Oman (Pro League)
277,Al-Nasr (UAE),UAE Professional League,U.A.E. (Pro League)
278,Al-Nassr (KSA),Saudi Professional League,Saudi Arabia (Pro League)
279,Al-Nassr (LBY),Libyan First Division,Libya (First Division)
280,Al-Nawair,Syrian Premier League,Syria (Premier League)
281,Al-Nil Wad Medani,Sudanese Lower Division,Sudan (Sudanese Lower Division)
282,Al-Njoom,Saudi First Division,Saudi Arabia (First Division)
283,Al-Orobah,Saudi First Division,Saudi Arabia (First Division)
284,Al-Qadsiah,Saudi First Division,Saudi Arabia (First Division)
285,Al-Quwa Al-Jawiya,Iraqi Premier League,Iraq (Premier League)
286,Al-Ra'ed,Saudi Professional League,Saudi Arabia (Pro League)
287,Al-Rayyan,Qatari Stars League,Qatar (Stars League)
288,Al-Sadd,Qatari Stars League,Qatar (Stars League)
289,Al-Safa,Saudi Lower Division,Saudi Arabia (Lower Division)
290,Al-Sailiya,Qatari Stars League,Qatar (Stars League)
291,Al-Shabab (KSA),Saudi Professional League,Saudi Arabia (Pro League)
292,Al-Shabab (KUW),Kuwaiti Premier League,Kuwait (Premier League)
293,Al-Shahaniya,Qatari Stars League,Qatar (Stars League)
294,Al-Shamal,Qatari League,Qatar (Q-League)
295,Al-Shorta (IRQ),Iraqi Premier League,Iraq (Premier League)
296,Al-Shoulla,Saudi First Division,Saudi Arabia (First Division)
297,Al-Sinaat Al-Kahrabaiya,Iraqi Premier League,Iraq (Premier League)
298,Al-Suwaiq,Omani Professional League,Oman (Pro League)
299,Al-Ta'ee,Saudi First Division,Saudi Arabia (First Division)
300,Al-Taawoun,Saudi Professional League,Saudi Arabia (Pro League)
301,Al-Talaba,Iraqi Premier League,Iraq (Premier League)
302,Al-Taqadum,Saudi Second Division Group A,Saudi Arabia (Second Division Grp A)
303,Al-Thuqbah,Saudi Second Division Group B,Saudi Arabia (Second Division Grp B)
304,Al-Urooba (UAE),UAE First Division,U.A.E. (First Division)
305,Al-Wahda (SYR),Syrian Premier League,Syria (Premier League)
306,Al-Wahda (UAE),UAE Professional League,U.A.E. (Pro League)
307,Al-Wakrah,Qatari Stars League,Qatar (Stars League)
308,Al-Washam,Saudi First Division,Saudi Arabia (First Division)
309,Al-Wasl,UAE Professional League,U.A.E. (Pro League)
310,Al-Watani,Saudi Second Division Group B,Saudi Arabia (Second Division Grp B)
311,Al-Wehda,Saudi Professional League,Saudi Arabia (Pro League)
312,Al-Zawra'a,Iraqi Premier League,Iraq (Premier League)
313,Alania,Russian Second Division - South,Russia (Second Division - South)
314,Alanyaspor,Turkish Super League,Turkey (Super League)
315,Alashkert,Armenian High League,Armenia (High League)
316,Albacete,Spanish Second Division,Spain (Second Division)
317,Albacete B,Spanish Third Division Group 18,Spain (Third Division Group 18)
318,Albany Creek Excelsior,Brisbane Premier League,Australia (BPL)
319,Albany Utd,New Zealand NRFL Division Two,New Zealand (NRFL Division 2)
320,Albert Foundry,Northern Irish Amateur Division 1A,N.Ireland (Amateur Division 1A)
321,AlbinoGandino,Italian Eccellenza Lombardia Grp.B,Italy (Eccellenza Lombardia B)
322,AlbinoLeffe,Italian Serie C/A,Italy (Serie C/A)
323,Albion,Uruguayan Second Professional Division,Uruguay (Second Division)
324,Albion Park White Eagles,Illawarra Premier League,Australia (Premier League)
325,Albion Rovers,Ladbrokes League 2,Australia (Vic SL 2NW)
326,Alcains,Portuguese Castelo Branco First Division,Portugal (Castelo Branco 1D)
327,Alcobendas Sport,Spanish Third Division Group 7,Spain (Third Division Group 7)
328,Alcoyano,Spanish Third Division Group 6,Spain (Third Division Group 6)
329,Alcudia,Spanish Third Division Group 11,Spain (Third Division Group 11)
330,Aldershot,Vanarama National League,England (Vanarama National)
331,Aldosivi,Argentine Premier Division,Argentina (Premier Division)
332,Alebrijes,Mexican Promotion League,Mexico (Promotion League)
333,Alemán de Sucre,Bolivian Lower Division,Bolivia (Lower Division)
334,Alessandria,Italian Serie C/A,Italy (Serie C/A)
335,Alex Utd,SAFA Gauteng Division 2,South Africa (Gauteng Division 2)
336,Alexandra Aces,SAFA Gauteng Division 2,South Africa (Gauteng Division 2)
337,Alexandroupoli,Greek Regional Division Group 1,Greece (Regional Division 1)
338,Alfaro,Spanish Third Division Group 16,Spain (Third Division Group 16)
339,Alfeios,Greek Amateur Division - Ileia,Greece (GAD - Ileia)
340,Alfonso Ugarte,Peruvian Copa Peru,Peru (Copa Peru)
341,Alfredo Salinas,Peruvian Copa Peru,Peru (Copa Peru)
342,Algeciras,Spanish Second Division B4,Spain (Second Division B4)
343,Aliakmnon Aianis,Greek Amateur Division - Kozani,Greece (GAD - Kozani)
344,Alianza,Peruvian First Division,Peru (First Division)
345,Alianza (SLV),El Salvador Primera DivisiÃ³n,El Salvador (Primera DivisiÃ³n)
346,Alianza FC (PAN),Liga PanameÃ±a de Futbol,Panama (Primera Division)
347,Alianza Petrolera,Colombian First Division,Colombia (First Division)
348,Alianza Universidad,Peruvian First Division,Peru (First Division)
349,Alimos,Greek Amateur Division - Athens,Greece (GAD - Athens)
350,Aliya Kfar-Saba,Israeli Youth Emek Yizre'el Division,Israel (Youth Yizre'el Division)
351,Alki,Cypriot Second Division,Cyprus (Second Division)
352,All Boys,Argentine Second Division,Argentina (Second Division)
353,All Boys (Santa Rosa),Argentine Torneo Federal B,Argentina (Fourth Division non AFA)
354,Alliance,Ukrainian Second League - Group B,Ukraine (Second League - Group B)
355,Alliance United FC,League1 Ontario,Canada (League1 Ontario)
356,Alloa,Ladbrokes Championship,Scotland (Ladbrokes Championship)
357,Almaceneros (Pringles),Argentine Torneo Federal C,Argentina (Fifth Division non AFA)
358,Almagro,Argentine Second Division,Argentina (Second Division)
359,Almagro C.F.,Spanish Third Division Group 18,Spain (Third Division Group 18)
360,Almancilense,Portuguese Algarve First Division,Portugal (Algarve First Division)
361,Almansa,Spanish Third Division Group 18,Spain (Third Division Group 18)
362,Almazán,Spanish Third Division Group 8,Spain (Third Division Group 8)
363,Almere City,Dutch Derde Divisie Zaterdag,Holland (Derde Divisie Zaterdag)
364,Almopos,Greek Regional Division Group 2,Greece (Regional Division 2)
365,Almyros Gaziou,Greek Amateur Division - Irakleio,Greece (GAD - Irakleio)
366,Almyros Volou,Greek Regional Division Group 3,Greece (Regional Division 3)
367,Alness Utd,Scottish Amateur Leagues,Scotland (Scottish Amateurs)
368,Alondras,Spanish Third Division Group 1,Spain (Third Division Group 1)
369,Alta,Norwegian Second Division Group 2,Norway (Second Division Group 2)
370,Altay,Turkish 1. League,Turkey (1. League)
371,Altdorf,Swiss Lower Division,Switzerland (Lower Division)
372,Alte. Brown,Argentine Metropolitan B Zone,Argentina (Metropolitan Zone)
373,Alte. Brown (Lules),Argentine Torneo Federal C,Argentina (Fifth Division non AFA)
374,Altglienicke,German Regional Division Northeast,Germany (Regional Div. Northeast)
375,Alto Adige,Italian Serie C/B,Italy (Serie C/B)
376,Altona 93,German Regional Division North,Germany (Regional Div. North)
377,Altona City,Victorian State League 1 North-West,Australia (Vic State League 1 NW)
378,Altona East Phoenix,Victorian State League 2 North-West,Australia (Vic SL 2NW)
379,Altona Magic,National Premier Leagues - Victoria,Australia (NPL Victoria)
380,Altona North,Victorian State League 4 - West,Australia (Vic State League 4 West)
381,Altos (PI),Brazilian National Fourth Division,Brazil (Fourth Division)
382,Altos Hornos Zapla,Argentine Torneo Federal B,Argentina (Fourth Division non AFA)
383,Altyn Asyr,Turkmenistani Higher League,Turkmenistan (Higher League)
384,Aluminij,Slovenian First League,Slovenia (First League)
385,Aluminium Arak,Iranian First Division,Iran (First Division)
386,Aluminium Hormozgan,Iranian Lower Division,Iran (Lower Division)
387,Alumni (Casilda),Argentine Torneo Federal C,Argentina (Fifth Division non AFA)
388,Alvarado (Mar del Plata),Argentine Second Division,Argentina (Second Division)
389,Alvear FBC,Argentine Torneo Federal C,Argentina (Fifth Division non AFA)
390,Alverca,Portugal Championship - Group D,Portugal (PT Championship D)
391,Always Ready,Bolivian Premier Division,Bolivia (Premier Division)
392,Alzenau,German Regional Division Southwest,Germany (Regional Div. Southwest)
